file_name,path,plate,well,date_time,RFU,unique_id,replicate,colour,x,Population,Ancestor_ID,Treatment,Note,temperature,population_id,round,keep,inoculation,state
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate1,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,1,B02,2018-09-26T21:59:36Z,14,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,20,1_B02,single,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate1,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,1,C02,2018-09-26T21:59:36Z,13,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,20,1_C02,single,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate1,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,1,D02,2018-09-26T21:59:36Z,17,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,20,1_D02,single,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate1,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,1,E02,2018-09-26T21:59:36Z,15,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,20,1_E02,single,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate1,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,1,F02,2018-09-26T21:59:36Z,7,F02_anc4_NA_NA,NA,wx,NA,anc4,NA,Anc4,NA,20,1_F02,single,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate1,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,1,G02,2018-09-26T21:59:36Z,12,G02_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,20,1_G02,single,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate10,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,10,B02,2018-09-26T23:14:59Z,16,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,25,10_B02,single,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate10,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,10,C02,2018-09-26T23:14:59Z,12,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25,10_C02,single,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate10,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,10,D02,2018-09-26T23:14:59Z,13,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,25,10_D02,single,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate10,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,10,E02,2018-09-26T23:14:59Z,12,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25,10_E02,single,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate10,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,10,F02,2018-09-26T23:14:59Z,7,F02_anc4_NA_NA,NA,wx,NA,anc4,NA,Anc4,NA,25,10_F02,single,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate10,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,10,G02,2018-09-26T23:14:59Z,12,G02_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,25,10_G02,single,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate12,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,12,B02,2018-09-26T23:30:23Z,14,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,25,12_B02,repeat,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate12,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,12,C02,2018-09-26T23:30:23Z,14,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25,12_C02,repeat,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate12,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,12,D02,2018-09-26T23:30:23Z,11,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,25,12_D02,repeat,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate12,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,12,E02,2018-09-26T23:30:23Z,10,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25,12_E02,repeat,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate12,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,12,F02,2018-09-26T23:30:23Z,8,F02_anc4_NA_NA,NA,wx,NA,anc4,NA,Anc4,NA,25,12_F02,repeat,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate12,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,12,G02,2018-09-26T23:30:23Z,10,G02_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,25,12_G02,repeat,yes,yes,growth
data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-plate13,data-raw/anc4-pilot-september2018/anc4-pilot-2018-09-26/anc4-pilot-setup-2018-09-26-,13,B02,2018-09-26T23:37:42Z,15,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,35,13_B02,single,yes,yes,growth
