well,type,n,unique_id,replicate,colour,x,Population,Ancestor_ID,Treatment,Note,plate
A02,algae,1,NA,NA,NA,NA,NA,NA,NA,NA,25
A03,algae,5,NA,NA,NA,NA,NA,NA,NA,NA,25
B02,algae,27,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,25
B03,algae,11,B03_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,25
B05,algae,9,B05_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,25
B06,algae,1,B06_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA,25
B07,algae,1,B07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25
B08,algae,1,B08_11_Anc 4_N,NA,yx,x,11,Anc 4,N,NA,25
B09,algae,10,B09_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25
B10,algae,3,B10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,25
B11,algae,10,B11_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,25
C02,algae,7,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25
C03,algae,6,C03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25
C05,algae,1,C05_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,25
C07,algae,1,C07_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,25
C08,algae,1,C08_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,25
C10,algae,1,C10_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,25
D02,algae,11,D02_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,25
D03,algae,20,D03_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,25
D05,algae,5,D05_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,25
D06,algae,1,D06_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,25
D07,algae,3,D07_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,25
D08,algae,2,D08_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA,25
D09,algae,1,D09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,25
D10,algae,2,D10_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,25
D11,algae,1,D11_24_Anc 4_C,NA,gx,NA,24,Anc 4,C,NA,25
E02,algae,14,E02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25
E04,algae,18,E04_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,25
E05,algae,1,E05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,25
E06,algae,19,E06_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,25
E07,algae,15,E07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25
E08,algae,3,E08_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,25
E09,algae,21,E09_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,25
E10,algae,5,E10_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,25
E11,algae,1,E11_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,25
F02,algae,2,F02_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,25
F03,algae,1,F03_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA,25
F04,algae,3,F04_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,25
F05,algae,8,F05_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,25
F06,algae,26,F06_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,25
F08,algae,19,F08_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,25
F10,algae,17,F10_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,25
F11,algae,1,F11_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,25
G02,algae,7,G02_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,25
G03,algae,15,G03_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,25
G04,algae,13,G04_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,25
G05,algae,4,G05_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,25
G06,algae,3,G06_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,25
G07,algae,1,G07_combo_NA_NA,NA,blank,NA,combo,NA,NA,NA,25
G08,algae,3,G08_11_Anc 4_N,NA,yx,NA,11,Anc 4,N,NA,25
G09,algae,4,G09_20_Anc 4_L,NA,bx,NA,20,Anc 4,L,NA,25
G10,algae,6,G10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,25
G11,algae,5,G11_anc4_NA_NA,NA,wx,NA,anc4,NA,NA,NA,25
A03,algae,7,NA,NA,NA,NA,NA,NA,NA,NA,6
A04,algae,2,NA,NA,NA,NA,NA,NA,NA,NA,6
B02,algae,16088,B02_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,6
B03,algae,7268,B03_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,6
B04,algae,7,B04_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,6
B05,algae,11338,B05_35_Anc 4_BS,NA,w,NA,35,Anc 4,BS,NA,6
B06,algae,576,B06_24_Anc 4_C,NA,gx,x,24,Anc 4,C,NA,6
B07,algae,2686,B07_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,6
B08,algae,1110,B08_11_Anc 4_N,NA,yx,x,11,Anc 4,N,NA,6
B09,algae,14059,B09_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,6
B10,algae,64,B10_8_Anc 4_P,NA,y,NA,8,Anc 4,P,NA,6
B11,algae,14548,B11_21_Anc 4_B,NA,g,NA,21,Anc 4,B,NA,6
C02,algae,7245,C02_15_Anc 4_S,NA,b,NA,15,Anc 4,S,NA,6
