file_name,path,well_plate,well,plate,date_time,RFU,plate_key,population,temperature,round,start_time,days
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate1,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,B02_1,B02,1,2018-11-09T15:48:15Z,5,1,25,34,single,2018-11-09T15:48:15Z,0
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate1,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,C02_1,C02,1,2018-11-09T15:48:15Z,11,1,6,34,single,2018-11-09T15:48:15Z,0
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate1,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,D02_1,D02,1,2018-11-09T15:48:15Z,5,1,24,34,single,2018-11-09T15:48:15Z,0
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate1,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,E02_1,E02,1,2018-11-09T15:48:15Z,9,1,1,34,single,2018-11-09T15:48:15Z,0
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate1,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,F02_1,F02,1,2018-11-09T15:48:15Z,7,1,25,34,single,2018-11-09T15:48:15Z,0
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate1,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,G02_1,G02,1,2018-11-09T15:48:15Z,8,1,11,34,single,2018-11-09T15:48:15Z,0
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate10,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,B02_10,B02,10,2018-11-09T17:04:29Z,6,2,28,34,single,2018-11-09T15:48:15Z,0.052939814814814815
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate10,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,C02_10,C02,10,2018-11-09T17:04:29Z,12,2,21,34,single,2018-11-09T15:48:15Z,0.052939814814814815
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate10,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,D02_10,D02,10,2018-11-09T17:04:29Z,10,2,18,34,single,2018-11-09T15:48:15Z,0.052939814814814815
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate10,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,E02_10,E02,10,2018-11-09T17:04:29Z,11,2,26,34,single,2018-11-09T15:48:15Z,0.052939814814814815
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate10,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,F02_10,F02,10,2018-11-09T17:04:29Z,8,2,28,34,single,2018-11-09T15:48:15Z,0.052939814814814815
data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-plate10,data-raw/chlamee-RFU-acclimated/chlamee-acclimated-2018-11-09-,G02_10,G02,10,2018-11-09T17:04:29Z,2,2,27,34,single,2018-11-09T15:48:15Z,0.052939814814814815
