population,treatment,ancestor_id,topt,tmin,tmax,rsqr,a,b,w,s
1,N,anc2,33.748104334617956,-3.3707336422430427,39.8201132399188,0.9964080133594388,-2.5412286770868513,0.13774964201293938,43.19084688216183,-2.3798342002133492
10,L,anc2,33.07908023441774,-20.63551927643797,39.825154734700995,0.9816831040786934,-2.133534922829956,0.12961744213701565,60.46067401113896,-1.7522363529889442
11,N,anc4,33.180388246669025,-1.9362168468760617,39.68422807056378,0.9702918562042119,-2.171643847509947,0.1252787672850619,41.62044491743984,-1.3333158318853047
14,S,anc2,32.59043078179682,4.093976686420093,40.08436807305154,0.990233102957981,-1.4085331706827275,0.09834911664398507,35.99039138663146,-1.936865307288748
15,S,anc4,32.893655489203326,-2.948393734031571,39.87934438861967,0.9841902026656665,-1.8401576797521626,0.11524961399887518,42.82773812265123,-1.696918611679943
16,B,anc5,32.44561583476391,-1.0777013675318885,39.75763362589586,0.9853993538962691,-1.6129556325883727,0.10693117167618311,40.83533499342776,-1.7357075660518262
17,P,anc2,33.38052406374937,-5.42080900153194,39.85387856075464,0.9947304354138277,-2.1192282124556465,0.1287071021536112,45.27468756228657,-2.1287566430387947
18,S,anc5,32.36062337914375,2.53972463137411,40.27626484527781,0.9877203687005576,-1.4171736154099577,0.0927986194559454,37.736540213903695,-2.081962781246599
19,B,anc2,33.18350499074583,2.8072649999657067,39.71616663735803,0.9785353439751824,-2.1270646117142897,0.12015649541272115,36.908901637392326,-1.5195914277032128
2,BS,anc3,32.38002544632462,9.58034208576529,39.73658599993237,0.9821065674720412,-1.3303666477354479,0.09207283069577206,30.156243914167085,-1.559377767738621
20,L,anc4,32.810709109478914,-0.216351272766122,39.70647336735916,0.9676600595404886,-2.003800857428741,0.11473835654193135,39.92282464012528,-1.4363213565997293
21,B,anc4,32.58496666476787,3.462854133609875,39.76840169698073,0.9935884702992405,-1.4891563624007003,0.10487099776718051,36.30554756337085,-2.0014450245202156
22,C,cc1690,33.477505859695995,-11.438811817956433,39.829643747163104,0.9780771374815057,-2.2597498182966858,0.13516368927326908,51.26845556511954,-1.444264098240723
23,L,anc5,32.51817846902451,-5.393776613879279,39.73657270520575,0.9560876080681685,-1.6854978439364294,0.11215806197977107,45.13034931908502,-1.150371515290338
24,C,anc4,33.335705859679265,-9.98547341841316,39.92581545106803,0.9676757897580409,-2.1890805873503143,0.12865914734728195,49.91128886948119,-1.3811018209576418
25,BS,anc2,31.848657610318707,7.427317193083479,39.638172239660264,0.9852893159144053,-1.1408646062110497,0.08742991024498666,32.21085504657678,-1.6781612160731547
26,L,anc3,32.785605752409,7.927482284227243,39.71892584806119,0.9909483672886968,-1.6945105172249324,0.10400274655198512,31.79144356383396,-1.92646594970131
27,N,anc3,31.21872297275381,8.943675896012172,39.618614141409616,0.8936222985408395,-1.0692566849496317,0.07415587811421485,30.674938245397453,-0.9383098851360917
28,P,anc5,33.17849710156053,2.4577056723756088,39.816163932849605,0.9895852067998889,-1.867164789656865,0.11810410231303782,37.35845826047399,-1.7260216761803735
29,P,anc3,33.035289025309524,-2.4879338573617704,39.89313256494971,0.9888567055958375,-1.9379705754400876,0.11766783426017897,42.38106642231148,-1.8852921267188938
3,N,cc1690,32.462961778372645,0.39451204719548927,39.750872839044405,0.9888688169917448,-1.5790519007336055,0.10603023235352683,39.356360791848914,-1.8407793616656536
30,N,anc5,32.03789945301071,3.5188261032674193,39.839278129620276,0.9643994997301389,-1.2721212608626518,0.0931182186303384,36.32045202635286,-1.3024035328087409
31,B,cc1690,32.95049326355283,7.057319120372946,39.83802589507268,0.9572724615437844,-1.6813987412047549,0.10656965789777989,32.780706774699745,-1.0785026451651754
32,S,cc1690,33.2539266240641,-0.2666228141646852,39.888104083,0.9817531673359517,-2.0581250722541626,0.12090214053023116,40.15472689716469,-1.602572724396126
33,L,cc1690,33.32306863183076,-0.7697428720060463,39.83539436885315,0.9801711411406627,-2.1784266022962155,0.12422327607895359,40.6051372408592,-1.5773875251950022
35,BS,anc4,33.02466744847648,2.26634702651752,40.11110290362756,0.9854772908037047,-1.7556082589426278,0.10860314175496705,37.844755877110046,-1.7959516414736558
4,S,anc3,33.70089767607921,2.4225778700405938,39.786087602492046,0.9764086070896228,-2.5451622700579963,0.13236238139993384,37.363509732451455,-1.501833675815583
5,C,anc5,33.82054284755,-15.12455720578448,39.721552215577596,0.9875553322125671,-2.7450259549621974,0.14903147952436813,54.84610942136207,-1.8114615841056094
6,P,cc1690,33.60371733011308,-16.3028220673376,39.887139205227854,0.9911732177334596,-2.4165962026461787,0.13911149673074572,56.189961272565455,-2.034252745944613
7,B,anc3,33.51550860560373,-7.548216052369877,39.792659686427484,0.9796792959272631,-2.400601177486221,0.1349555448127786,47.340875738797365,-1.556435694435883
8,P,anc4,33.71029307183958,8.670044281736828,39.79960050959889,0.9857217266249769,-2.3516486612575864,0.12428658259176055,31.129556227862068,-1.685204310599201
9,BS,cc1690,32.01230837589522,4.554668486565093,39.55408223741842,0.9816254439944023,-1.3816831541082184,0.09617506427505088,34.999413750853336,-1.5833427117303904
anc2,none,anc2,32.92380389370814,-0.45254594530893005,39.772676046169614,0.9775762836892967,-1.8844635057198682,0.11604810676686608,40.22522199147855,-1.4738896706791085
anc3,none,anc3,33.46722199432357,-25.528050552433445,39.81960665001135,0.9827865816183504,-2.3295301273438667,0.14047068685749337,65.34765720244481,-1.6731939452359352
anc4,none,anc4,31.512963061913183,5.196222900050026,39.719667443025244,0.979303686989025,-1.1036696327408388,0.08385296548598575,34.52344454297521,-1.6551096960232068
anc5,none,anc5,33.56613692658562,-14.372817009187402,40.05839942488737,0.989431066065311,-2.1700592228367412,0.13316964548245303,54.43121643407477,-1.8608469158209981
cc1629,none,cc1629,33.37219983906495,11.725345193097667,40.346053624767684,0.9626234949506166,-1.9760856463482765,0.09719665171333258,28.620708431670018,-1.6401204446850637
